chartDate,rank,song_id,title,singer,lyric
2007,1,1563237,미인 (美人),이기찬,"헤어질 때 늘 하던 짧은인사가
오늘따라 왜 이렇게 서글픈거니
눈물이 두 뺨 위로 흘러내릴때
그때서야 이별인 줄 알았어
제발 가지 말라고 차갑게 떠나지 말라고
가슴 아프도록 외쳐보지만
너는 떠나간다고 나의 손을 놓는다고
나를두고 돌아서 버린 너
다시 사랑한다 해도 다른 누군갈 만나도
나는 너와 같은 사람 다신 만나진 못해
백 번 천 번을 말해도 울며 다짐을 해봐도
떠나가는 네 얼굴 보고싶은..
내가 정말 싫어
모두 꿈일꺼라고 깨면 다 돌아올꺼라고
아픈 마음을 위로해보지만
점점 멀어져가는 너의 모습을 보면서
울고있는 내가 다 가여워
다시 사랑한다해도
다른 누군가를 만나도
나는 너와 같은 사람 다신 만나지 못해.
백번 천번을 말해도 울며 다짐을 해봐도
떠나가는 네 얼굴 보고싶은 내가 싫어.
정말 사랑했었다면
나를 사랑했었다면
가는 길에서라도 한번쯤은 돌아봐줘
이거 하나만 알고 가
이 말 하나만 듣고 가
나보다 더 좋은 사람 만나도
날 잊으면 안돼.."
2007,2,1569650,이럴거면,아이비,"이럴 거면 날 흔들어 놓지 말지
이럴 거면 잘해주지나 말지
이럴 거면 첨 스쳐가게 놔두지
너를 모르는 채 살게 하지. 떠날 거라면.
원망해도 후회해도 널 향한 나의 사랑은
이미 엎질러진 물 처럼 주워 담을 수 없어
나를 울리려고 이럴려고..
날 사랑 했니. 너를 사랑하게 했니
멀쩡한 사람 왜 넌 바보 만들어
버릴 거면. 그럴 거였으면
왜 내 맘 모두 가져간 거야
조각나버려 이제 다신 쓸 수도 없게
내 머리는 내 입술은 매일 니 욕만 하는데
나의 가슴은 내 눈물은 자꾸 니 편만 들어
나를 울리려고 이럴려고
날 사랑 했니 너를 사랑하게 했니
잘살던 사람 왜 늘 울게 만들어
버릴 거면. 그럴 거였으면
왜 내 맘 모두 가져간 거야
누구에게도 이제 다신 줄 수도 없게
너를 알기 전 서로 몰랐던 때로
돌아가기엔 널 너무 사랑했나 봐
잊지 못할 거면 이럴 거면
널 붙잡을 걸 네게 떼라도 써볼걸
사랑한다고 너 없인 못산다고
울릴 거면 그립게 할 거면
차라리 너의 곁에서 울려
볼 수 있다면 혼자 사랑해도 되니까
나만 사랑해도 되니까"
2007,3,1569649,유혹의 소나타,아이비,"내 손만 잡으려말고 날 안아봐
두 눈 다 꼭 감은채로 느낌을 봐
가슴이 참 복잡할 땐 날 바라봐
난 널 유혹하는 거란다
손발을 Do It 단 둘이 둘이
이 밤을 Take It
달빛을 켜서 네 맘을 비춰 자
내게 보여줘
한순간 숨 막힐 듯한 네 표정과
한숨만 푹 쉬고 마는 입술을 봐
겁먹기 딱 편한 매력 난 있지만
다 널 유혹 하는 거란다
손발을 Do It 단 둘이 둘이
이 밤을 Take It
달빛을 켜서 네 맘을 비춰 자
내게 보여줘
Baby U Don't Have To Worry
Everything's Alright
손발을 Do It 단 둘이 둘이
이 밤을 Take It
One One n Two
이제부터 우리 둘 의 시간
Three n Four 아직 밤은 깊어
Five n Six 나를 가져가게 놔둘 시간
Seven Tonight Gotta Make up
Ur Mind
I GOTTA Do It So pretty pretty
I'm Gonna Make It
온몸을 던져 진하게 Touch YA
유혹의 SONATA
Baby U Don't Have To Worry
Everything's Alright
손발을 Do IT 단 둘이 둘이
이 밤을 Take It
어쩜 이런 기회를 잡고 나를
만나러 왔니
어떤 이도 찾지 못하게 숨겨온
내 사랑
더 빨리 Do IT 단 둘이 둘이
눈길을 Take It
두 손을 펴서 두 팔을 벌려 자
나를 감싸줘
손발을 Do It 단 둘이 둘이
이 밤을 Take It
달빛을 켜서 네 맘을 비춰 자
내게 보여줘
Baby U Don't Have To Worry
Everything's Alright
선택은 빨리 한 순간 뿐인
기회는 지금 YO"
2007,4,1558954,미워요,씨야,"평생을 나만
사랑한다고 해놓고
평생을 나만
바라본다고 해놓고
나 그댈 이토록
사랑하게 해놓고
안녕이란 말도 없이
떠나간 그대가 미워요
마음이 약해서
그댈 붙잡지도 못하고
못난 정 때문에 잊지도 못하고
사랑한다고 하더니
나를 떠나가버린 그 사람
지켜준다고 약속하더니
나를 울리고 떠난 그 사람
오 바람아 불어라
그리운 이 내 마음
전해지도록
내 님이 있는 곳
너는 알고 있잖아
사랑이 사랑을
잊혀지게 한다는 그 말
아무리 되내어도 그리움만 차
사랑한다고 하더니
나를 떠나가버린 그 사람
지켜준다고 약속하더니
나를 울리고 떠난 그 사람
오 바람아 불어라
그리운 이 내 마음
전해지도록
내 님이 있는 곳
너는 알고 있잖아
그래도 사랑했던 사람
내게는 다정했던 사람
이제 잊어야 하겠지
사랑아 사랑아
너 없이 나 어떻게 살라고
못난 내 사랑아
이제는 내가 널 보내줄께
오 세월아 흘러라
사랑한 추억 모두 잊혀지도록
그리운 내 님이
생각나지 않도록
여자의 가슴에
사랑만 남겨놓고 떠난 사람아
미워요 그 사람
내가 사랑했던 사람"
2007,5,1521180,잔소리,더 넛츠 (The NuTs),"아무일 없지 지낼만 하지 거 봐 괜찮다고 했잖아
장난기 어린 네 맑은 음성이 하루종일 내 곁에 있곤 해
어딜 가든지 내가 무얼 하든지 혼자 내버려 두질 않아
무얼 먹어야 할지 무얼 입어야 할지
가면 갈수록 더해지는 너의 잔소리
그래서 눈물 나
내 귓가에 네가 있는데 너를 볼 수 없다는게 그게 너무 슬퍼서
그래서 눈물 나
내 가슴에 살아 있는 널 너무 보고 싶어서 너무 보고 싶어서 너무 아파
저 여잔 어때 자꾸 등을 떠밀어 다른 여잘 만나게 해도
열 번이면 열 번다 이뤄질 수 없었고 그런 날이면 전쟁 같은 너의 잔소리
그래서 눈물 나
나 그렇게 누굴 만나면 이제 다신 내 귓가에 오지 않을 너라서
그래서 눈물 나
너 그렇게 보내 버리면 니가 보고 싶어서 너무나 보고 싶어서 눈물이 나
어쩜 이렇게 아플까 가슴 터질 것처럼
그저 너 하나 없는 것 일뿐인데
그래서 눈물 나
이 세상이 해준 것 보다 니가 내게 해준 것이 너무 나도 많아서
그래서 눈물 나
널 더 이상 듣지 못한 채 주먹만 한 가슴에
너를 살게 하는 게 미안해서"
2007,6,1556553,Love Love Love (Feat. Yoong Jin Of Casker),에픽하이 (EPIK HIGH),"밤 12시 술 취해 지친 목소리
새벽 2시 차갑게 꺼진 전화기
아무도 내 맘을 모르죠
I can't stop Love Love Love
아파도 계속 반복하죠
I can't stop Love Love Love
있나요 사랑해본 적
영화처럼 첫 눈에 반해본 적
전화기를 붙들고 밤새본 적
세상에 자랑해본 적
쏟아지는 비속에서
기다려본 적
그를 향해 미친듯이
달려본 적
몰래 지켜본적 미쳐본적
다 보면서도 못본 척
있겠죠 사랑해본 적
기념일 때문에 가난해본 적
잘하고도 미안해 말해본 적
연애편지로 날 새본 적
가족과의 약속을 미뤄본 적
아프지말라 신께 빌어본 적
친굴 피해본 적 잃어본 적
가는 뒷모습 지켜본 적
can't stop love
미친듯 사랑했는데 왜
정말 난 잘해줬는데 왜
모든걸 다 줬었는데
you got me going crazy
can't stop love
죽도록 사랑했는데 왜
내 몸과 맘을 다 줬는데
모든걸 잃어버렸는데 어떻게
아무도 내 맘을 모르죠
I can't stop Love Love Love
아파도 계속 반복하죠
I can't stop Love Love Love
있나요 이별해본 적
빗물에 화장을 지워내본 적
긴 생머리 잘라내본 적
끊은 담배를 쥐어본 적
혹시라도 마주칠까
자릴 피해본 적
보내지도 못할 편지 적어본 적
술에 만취되서 전화 걸어본 적
여보세요 입이 얼어본 적
있겠죠 이별해본 적
사랑했던 만큼 미워해본 적
읽지도 못한 편지 찢어본 적
잊지도 못할 전화번호 지워본 적
기념일을 혼자 챙겨본 적
사진들을 다 불태워본 적
이 세상에 모든 이별 노래가
당신의 얘길꺼라 생각해본 적
can't stop love
미친듯 사랑했는데 왜
정말 난 잘해줬는데 왜
모든걸 다 줬었는데
you got me going crazy
can't stop love
죽도록 사랑했는데 왜
내 몸과 맘을 다 줬는데
모든걸 잃어버렸는데 어떻게
아무도 내 맘을 모르죠
I can't stop Love Love Love
아파도 계속 반복하죠
I can't stop Love Love Love
바보처럼 울고 또 술에 취하고
친구를 붙잡고 그 사람을 욕하고
시간이 지나고 또 술에 취하고
전화기를 붙잡고 say love
아무도 내 맘을 모르죠
I can't stop Love Love Love
아파도 계속 반복하죠
I can't stop Love Love Love
아무도 내 맘을 모르죠
(사실은 당신만 모르죠)
아파도 계속 반복하죠
이러다 언젠가 다시 마주치겠죠"
2007,7,1538203,안녕,KCM,"안녕이란 두 글자가 나를 울리고
행복했던 시간 모두 내 곁을 떠나고
사랑했던 그대마저 내 곁에는 없고
차가운 바람만 불어오네요
자고 나면 그대 생각에
나 눈물부터 내 앞을 가리고
그대밖에 모르던 난 어떡해
그대 사랑하지 말아요
다른 사랑하면 안돼요
그런 그댈 바라보는
내 맘이 너무 아프잖아요
나를 사랑할 순 없나요
모든 걸 다 잃어도 난 괜찮아요
사랑해요 내 곁에 돌아와줘요
길을 걷다 마주치는 많은 풍경도
내 귓가에 들려오는 저 노래 소리도
입 맞추던 그 거리도 다 그대로인데
그대 하나만 변한 것 같아요
내일이면 그댈 잊어야지
떠난 사람 이젠 보내야지
다시 그리움에 무너지네요
그대 사랑하지 말아요
다른 사랑하면 안돼요
그런 그댈 바라보는
내 맘이 너무 아프잖아요
나를 사랑할 순 없나요
모든 걸 다 잃어도 난 괜찮아요
사랑해요 내 곁에 돌아와줘요
이젠 못 보는 거죠
다신 못 보는 거죠
정말 두번 다시는
그대 사랑하지 말아요
다른 사랑하면 안돼요
그런 그댈 바라보는
내 맘이 너무 아프잖아요
그대 나를 잊지 말아요
나를 사랑 안 해도 난 괜찮아요
보고 싶어
내가 사랑한 사람아"
2007,8,1459456,흰눈,이루,"한 사람을 너무 사랑했던거죠
얼마나 나를
아프게 할지도 모르고
기뻐했죠
이 세상에 그댈 가진 사람
나 하나 뿐이라며
흰 눈이 내리던 어느 날
그 고운 입술로 날 사랑한다고
안녕이란 말을 하고
그대가 내 곁을 떠나갔죠
몰랐었죠 우리 헤어진다는건
정말 그대가
내 사랑인줄 알았는데
좋아했죠
그대 나와 같은 생각하고
있을거라 믿었죠
흰 눈이 내리던 어느 날
그 고운 입술로 날 사랑한다고
안녕이란 말을 하고
그대가 내 곁을 떠나갔죠
하얀 눈위에 멀어져 가는
그대가 남겨둔 발자국 세며
멍하니 바보처럼
떠나가는 뒷모습 보면서 울었죠
흰 눈이 내리던 어느 날
그 고운 입술로 날 사랑한다고
안녕이란 말을 하고
그대가 내 곁을 떠나갔죠
흰 눈이 내리던 어느 날
그 고운 입술로 날 사랑한다고
안녕이란 말을 하고
그대가 내 곁을 떠나갔죠
내 곁을 떠나갔죠"
2007,9,1560045,추억은 사랑을 닮아,박효신,"그대가 부네요
내 가슴 안에 그대라는 바람이
언제나 내게 그랬듯이
내 맘 흔들어 놓고
추억이란 흔적만
남기고 달아나죠
난 길을 잃었죠
늘 그대라는 사람만 보다가
단 한 번 의심하지 않고
여기까지 왔는데
그대 없는 낯설은
길 위에 남아 있죠
가져가세요
좋은 기억마저도
그대가 없이는
내겐 짐만 될 텐데
자꾸 꺼내 보면
그리움만 커져서
다시 돌아가는 길
발걸음 또 멈추게 하죠
추억은 사랑을 닮아
난 자꾸 돌아보겠죠
그곳엔 아직도 그대가 있어서
그래서 아픈가 봐요
한 번쯤 꼭 한 번쯤은
그대도 날 볼까 봐
오늘도 기다려요
나 이제 어쩌죠
아무리 그댈 달아나려 해봐도
한뼘도 멀어지지 못해
매일 같은 자리에
매일 같은 무게로
하루를 살아가죠
어딜 보아도 온통 그대 뿐이죠
날 보던 눈빛이
자꾸 맘에 걸려서
다시 눈을 감고
그댈 지우려하면
굳게 다문 입술이 떨려와
참았던 눈물이 흐르죠
추억은 사랑을 닮아
난 자꾸 돌아보겠죠
그곳에 아직도 그대가 있어서
그래서 아픈가 봐요
한 번쯤 꼭 한 번쯤은
그대도 날 볼까 봐
오늘도 기다려요
어느 날 뒤돌아보다
그대가 나를 본다면
난 어떻게 하죠
아무 말 못하는
나를 잘 알잖아요
추억은 바람을 타고
언젠가 흩어질 텐데
울어도 소리쳐 봐도
모른 척 버리려 해도
잊지 못할 그 사람
오늘도 기다려요
나를 잘 알잖아요"
2007,10,1522421,사랑...후에,"신혜성, 린","저만치 그녀가 떠나요
마치 바쁜 사람처럼
아쉬운 맘에 한걸음도
떼지 못한 나를 두고
인사까진 잘했는데
눈물은 감추지 못해
싫단 걸음을 억지로
재촉하는 날 그댄 모르죠
돌아보지 마요 계속 걸어요
울먹일 그대를 보면
다시 나 그대를 안고싶어
달려갈지 모르니
사랑하세요 누구든 다시
행복한 그대를 보면
이 맘 정리하기 더 쉬울테니
나를 도와줘요
손잡고 걸었던 이 길을
등을 진채 걷고 있죠
차는 눈물에 흐려지는
그대 모습 마지막이죠
돌아보지 마요 계속 걸어요
울먹일 그대를 보면
다시 나 그대를 안고 싶어
달려갈지 모르니
사랑하세요 누구든 다시
행복한 그대를 보면
이 맘 정리하기 더 쉬울테니
나를 도와줘요
어디로 가는지 걷고 또 걷죠
어쩌다 우리 이별까지 온 건지
난 모르겠어요 자신 없어요
그대 없는 듯 사는 일
쉴새 없이 드는 후회 속에
아파하며 살텐데
돌아봐줘요 한번만 다시
반가운 그 목소리에
용기 없는 내 발이 멈추도록
나를 불러줘요
아직 사랑해요"
