chartDate,rank,song_id,title,singer,lyric
2003,1,420522,Break Away,빅마마,"이젠 날 떠나가줘 이젠 날
다 잊어줘
나를 버리고 살아가줘
가져간 내 사랑을 내게 돌려줘
차라리 떠났다면 차라리
죽었다면
어쩔 수 없이 참을 텐데
이대론 견디기가 너무 힘들어
단 한번 나를 봐주기를
말을 해주기를 예전처럼
단 한번만
그렇게 너를 기다리고
너를 사랑해 왔는데
Break away No I can't wait
내가 널 보내줄께 편하게
I'll make my way I'll
throw my pain
이제 나 너 없이도 살 수 있게
널 떠나 맘 편하게 널 떠나
행복하게
이제 내 안에 너를 버려
널 위해 힘들었던 지난 날은
지웠어
우연히 나를 보더라도 나를
지나쳐줘
너를 잊은 나를 위해 날 위해
혹시 너 말을 걸어와도 나는
모른체 할 테니
Break away Break away
No I can't wait No
I can't wait
내가 널 보내줄게 편하게
I'll make my way I'll make
my way
I'll throw my pain I'll throw
my pain
이제 나 너 없이도 살 수 있게
갑자기 니가 또 생각나
널 떠난 거란걸 잊고서
내가 널 찾아도 넌 모르는 척
누굴 찾아왔냐고 또 다시 날
돌아서줘
I'll make my way I'll throw
my pain
다신 널 바라보고 살순 없어
break away No I can't wait
이젠 날 다 버리고 떠나줘
I'll make my way I'll throw
my pain
처음부터 넌 없었던 사람처럼
break away"
2003,2,421409,점점,브라운 아이즈,"점점 넌 멀어지나봐
웃고 있는 날 봐 때론
며칠씩 편하게 지내
점점 널 잊는 것 같아 먼일처럼
점점 넌 떠나가나봐
하루는 미치고 다음 날이면
괜찮아졌어
다만 슬픔에 익숙해질
뿐인걸 점점
어쩌다 또 생각나
너를 그릴 때가 오면
숨막히게 지쳐
애써 참아낼 수 있겠지
그렇게 널 버려 내 아픔도 점점
점점 넌 멀어지나봐
그게 편해지나봐 너의 얼굴도
생각이 안나
점점 너를 버릴 것 같아
나 어느새 점점
어쩌다 또 생각나
너를 그릴 때가 오면 숨막히게 지쳐
애써 참아낼 수 있겠지
그렇게 널 버려 내 아픔도 점점
어쩌다 또 생각나
너를 그릴 때가 오면
숨막히게 지쳐
애써 참아낼 수 있겠지
그렇게 널 버려
Long Goodbye No Way
You Know
이젠 낯선 목소리에 너를 부르는걸
시간이 나를 다 버리고
내 슬픔도 이제 멀어져가 점점"
2003,3,482653,With Me,휘성 (Realslow),"This song is dedicated to
all the broken heart
Been there DONE that
Mr Real slow Real slow
R U ready 4 Shock
니 손짓하나 보는 게 난 좋은데
니 목소리를 듣는 것도 좋은데
왜 넌 내 마음은 묻지도 않고
나 니 맘대로 떠나라는지
날 미워해도 사랑할 수 있는데
난 너만 보면 행복할 수 있는데
그런 내 맘까지 아프라는 건지
왜 가기 싫은 날 떠미는지
사랑일거라고 믿고있어
믿고있어
니 맘이 아닌걸 알고 있어
아닌걸
더 많이 사랑할 나 사람
찾아가란 말
아픈 니 맘도 다 알 수 있어
알 수 있어
더 힘들어도 참을 수도 있는데
날 사랑하는 니 마음 보여주면
아직 너를 위해 해두고 싶은
일들이 너무 많이 있는데
사랑일거라고 믿고있어
니 맘이 아닌걸 맘이 아닌걸
알고 있어 난 알고 있는데
더 많이 사랑할 사람 찾아가란 말
아픈 니 맘도 다 알 수 있어
알수 있어
지금 어찌 할 수가 없는
너의 아픔을
니 곁을 지켜주란 하늘의 뜻
그게 내 믿음
내 가슴속 깊은 곳 새겨진
너의 이름
널 가까이서 지켜볼 수
있다는 게 오직 기쁨
나 없이는 하루도 살수
없다는 걸 알어
이제 떠나란 말 그런
말하지 말어
cause U the one
4 me n I the one 4 U
그런 마음 이 세상 그
누구보다 난 잘 알어
사랑이라고만 꼭 믿어줘
꼭 믿어줘
너를 가둬두는 내마음도
Say WE Say WE Say
너만을 사랑할 자신 아직까지 난
너의 사랑만큼 남았다고
사랑일거라고 믿고있어
니 맘이 아닌걸 알고 있어
더 많이 사랑할 사람 찾아가란 말
아픈 니 맘도 다 알 수 있어"
2003,4,485716,정말 사랑했을까,브라운 아이드 소울,"좋았나봐 널 많이 아꼈나봐
다시 못견디게 아픈걸 보니
가슴에서 자꾸만 열이 나고
널 떠올릴때마다 그리움이 흘러
숨겨봐도 그게 잘 안되나봐
이별 앓고있는 날 다 아는걸
씩씩한척 강한척 하는 내가
웃는 눈빛마저도 우는것
같아 보인대
우리 정말 사랑하긴 했을까
느낄 수가 없잖아
작고 좁은 나의 세상속에
살던 넌
행복하긴 했을까
우리 닮은 지난 추억이
초라한 내 앞이라 더 눈부셔
너 있는 곳 너무 멀어
다가갈 수 없어
헤어져도 보내지 못하나봐
니가 돌아와줄 것만 같아서
시간가면 잊을수 있을꺼란
굳은 다짐해봐도
매일 널 찾아 헤매는데
우리 정말 사랑하긴 했을까
믿을 수가 없잖아
좋은 사람으로 니 가슴에 내 모습
남긴 했을까
니가 곁에 없는 나보다
내가 없는 니가 더 두려워
나를 지우고 쉽게 또 사랑 할까봐
지키지 못할 약속들
그땐 왜 그렇게 많이 했는지
아직도 너를 위해 난 주고
싶은게 많은데
우리 정말 사랑하긴 했을까
느낄 수가 없잖아
작고 좁은 나의 세상속에 살던 넌
행복하긴 했을까
니가 곁에 없는 나보다
내가 없는 니가 더 두려워
니 사랑이 마지막이 될까봐"
2003,5,608151,아틀란티스 소녀 (Atlantis Princess),보아 (BoA),"저 먼 바다 끝엔 뭐가 있을까
다른 무언가 세상과는 먼 얘기
구름위로 올라가면 보일까
천사와 나팔부는 아이들
숲속 어디엔가 귀를 대보면
오직 내게만 작게 들려오는 목소리
꿈을 꾸는 듯이 날아가볼까
저기 높은 곳 아무도 없는 세계
그렇게도 많던 질문과
풀리지 못한 나의 수많은 얘기가
돌아보고 서면 언제부턴가
나도 몰래 잊고 있던 나만의 비밀
이제 정말 왜 이래 나 이제 커버린 걸까
이제 정말 뭔가 잃어버린 기억
지금 내맘 이젠 나의 그 작은 소망과
꿈을 잃지 않기를 저 하늘속에 속삭일래
까만 밤하늘에 밝게 빛나던
별들 가운데 나 태어난 곳 있을까
나는 지구인과 다른 곳에서
내려 온 거라 믿고 싶기도 했어
그렇게도 많던 질문과
풀리지 못한 나의 수많은 얘기가
돌아보고 서면 언제 부턴가
나도 몰래 잊고 있던 나만의 비밀
이제 정말 왜 이래 나 이제 커버린 걸까
이제 정말 뭔가 잃어버린 기억
지금 내맘 이젠 나의 그 작은 소망과
꿈을 잃지 않기를 저 하늘속에 속삭일래
왜 이래 나 이제 커버린 걸까
이제 정말 뭔가 잃어버린 기억
지금 내맘 이젠 나의 그 작은 소망과
꿈을 잃지 않기를 저 하늘속에 속삭일래
너무나도 좋은 향기와 바람이
나에게로 다가와
어느샌가 나도 모르게
가만히 들려오는 작은 속삭임
귀를 기울이고 불러보세요
다시 찾게 될 거예요 잊혀진 기억
생각해봐 나 이제 더 이상 놓치진 않아
소중했던 나의 잃어버린 기억
지금 내맘 이젠 나의 그 작은 소망과
꿈을 잃지 않기를 저 하늘 속에 속삭일래
왜 이래 나 이제 커버린 걸까
이제 정말 뭔가 잃어버린 기억
지금 내맘 이젠 나의 그 작은 소망과
꿈을 잃지 않기를 저 하늘속에 기도할래"
2003,6,471072,결혼을 할 거라면,쿨 (COOL),"이리저리 아무리 생각해봐도
그대는 나만 있으면
될 것 같은데
얼마나 이별을 더 해봐야
알 수 있을런지
이제서야 조금씩
알 것 같은데 도대체
남자가 뭐란 걸
사랑을 다룰 땐
역시 경험이란 걸
그렇게 버티다간 늘어나는
나이와 잔주름 책잡힐 과건
왜 만들어 그냥 날 선택하세요
결혼해줘요 눈 딱 감고
내 한 목숨 그댈 위해서
다 던져버릴테니 그대 인생
내게 맡겨 봐요
결혼해줘요 날 믿어요
나 사실은 자신 없어요
나 다른 건 몰라도
약속해줘요 Oh 사랑할거예요
혼자서 외로울 땐
결혼이 하고 싶고
결혼을 하고 나면
아기가 갖고 싶고
아기가 생겨 나고
세월이 흘러가면
혼자가 부러워진대
여기저기 결혼한 많은 사람들
이런 내 얘길 들으면
그럴 땐 그런 거라고
왠지 행복하지 않아보여
그렇잖아 그렇게 변해가잖아
다시 또 혼자도 되잖아
사랑이 뭔지도
혼란스러울 뿐야
어쩌면 환상같은 행복으로
시작은 했지만 먹구름 같은
현실속에
무너져 간 건 아닐까
결혼해줘요 내 사랑은
이 세상을 끝내는 그날
내 마지막 고백이
되는 그런 사랑 만들테니
결혼해줘요 날 믿어요
나 사실은 자신 없어요
나 그대만 보면서
약속해줘요
Oh 행복할거예요
날 사랑하나요 그럼요
난 아직 모르겠어요
왜 나를 스친 남자들이
갑자기 생각날까
결혼해줘요 눈 딱 감고
내 한 목숨 그댈 위해서
다 던져버릴테니 그대
인생 내게 맡겨 봐요
결혼해줘요 날 믿어요
나 사실은 자신 없어요
나 다른 건 몰라도 약속해줘요
Oh 영원할거예요
결혼을 할 거라면
확실히 목숨 걸고
결혼을 한 거라면
끝까지 책임지고
한평생 살 거라면
절대로 배신없이
사랑을 지켜야만해
결혼을 할거라면"
2003,7,481199,10 Minutes,이효리,"Just One 10 MINUTES
내 것이 되는 시간
순진한 내숭에 속아 우는 남자들
Baby 다른 매력에 흔들리고 있잖아
용기내봐 다가와 날 가질
수도 있잖아
어느 늦은 밤 혼자 들어선 곳
춤추는 사람들 그 속에 그녀와 너
왠지 끌리는 널 갖고 싶어져
그녀가 자릴 비운 그 10분 안에
지루했던 순간이 날 보는
순간 달라졌어
I'm telling you
오래된 연인 그게 아니던
중요한 사실은
넌 내게 더 끌리는 것
I say 너의 그녀는 지금
거울을 보며
붉은색 립스틱 화장을 덧칠하고
Baby 높은 구두에 아파하고
있을걸
나는 달라 그녀와 날 비교하진
말아줘
짧은 순간이 아니라고 했잖아
영화속에 갇힌 우리가 되는 거야
영화속 10분 1년도 지나쳐 어때
겁먹지는 마 너도 날 원해
지루했던 순간이 날 보는 순간
달라졌어
I'm telling you
오래된 연인 그게 아니던
중요한 사실은
넌 내게 더 끌리는 것
Just one 10 MINUTES
내 것이 되는 시간
모든 게 끝난 후 그녀가
오고 있어
Baby 붉은 립스틱
촌스럽기도 하지
내게와봐 이제 넌 날
안아봐도 괜찮아
Don't tell a lie just be
yourself
힘들게 둘러 대지마
널 떠나달라 말을해 have it
your way
Bling Bling shine it's right
to come
사랑에 빠진 거라고
거짓을 말할거라면 모두 없던
걸로 해
I say 너의 그녀는 지금
거울을 보며
붉은색 립스틱 화장을 덧칠하고
Baby 높은 구두에 아파하고
있을걸
나는 달라 그녀와 날 비교하진
말아줘
Just one 10 MINUTES
내 것이 되는 시간
순진한 내숭에 속아 우는 남자들
Baby 다른 매력에 흔들리고
있잖아
용기 내봐 다가와 날 가질
수도 있잖아
Just one 10 MINUTES
Just one 10 MINUTES"
2003,8,476529,잊을께,YB (윤도현 밴드),"아침에 눈을 떴을 때 너를
길을 걷다 멍하니 너를
지금은 내 곁에 없는 너를
그리워하네 바보처럼
나보다 행복하기를 바래
내 생각하지 않기를 바래
더 좋은 사람 만나길 바래
다시는 내게 올 수 없게
안개처럼 사라져간
다시 못 올 그 지난 날
함께한 추억 모두 흘려 보낼게
널 잊어야 해 힘들어도
널 지워야 해 기억 속에서
네가 떠난 후에 난
죽을 것 같이 아파도
두 번 다시 울지 않을게
잊을게 잊을게
아직도 휴대폰에 네 이름
지우지도 못하고 있어
전화기 들고 한참을 서서
널 생각하네 바보처럼
안개처럼 사라져간
다시 못 올 그 지난 날
함께한 추억 모두 흘려 보낼게
널 잊어야 해 힘들어도
널 지워야 해 기억 속에서
네가 떠난 후에 난
죽을 것 같이 아파도
다시는 너를 찾지 않아
아침에 눈을 떴을 때 너를
길을 걷다 멍하니 너를
지금은 내 곁에 없는 너를
그리워하네 바보처럼
잊을게 잊을게 잊을게
잊을게 잊을게 잊을게
잊을게 잊을게 잊을게"
2003,9,511798,어쩌다..,윤건,"어쩌다 지나친 거릴 돌아보게 돼
니가 있는 게 아닐텐데 맞을텐데
어쩌다 오간 대화에 니 이름 오르면
모두 놀란 듯이 나의 표정을 살피는데
그런 니가 없어도 아직은 살만하다고
또 내 맘을 속여가며 웃어주고
그런 뒤에 돌아서 나 혼자 견딜 이별에
눈물은 니가 되고 내가 되지 항상
날 스치는 사람중에 왜 너 하나만 없는지
오늘까지만 울면 내일은 너를 잊을까
나 하나씩 너의 얘길 모두 지워가며
그런 니가 없어도 아직은 살만하다고
또 내 맘을 속여가며 웃어주고
그런 뒤에 돌아서 나혼자 견딜 이별엔
눈물은 니가 되고 내가 되지 항상"
2003,10,418253,보고 싶다,김범수,"아무리 기다려도 난 못 가
바보처럼 울고 있는 너에 곁에
상처만 주는 나를 왜 모르고
기다리니 떠나가란 말야
보고싶다 보고싶다
이런 내가 미워질 만큼
울고 싶다 네게 무릎 꿇고
모두 없던 일이 될 수 있다면
미칠 듯 사랑했던 기억이
추억들이 너를 찾고 있지만
더 이상 사랑이란 변명에
너를 가둘 수 없어
이러면 안 되지만
죽을 만큼 보고싶다
보고싶다 보고싶다
이런 내가 미워질 만큼
믿고 싶다 옳은 길이라고
너를 위해 떠나야만 한다고
미칠 듯 사랑했던 기억이
추억들이 너를 찾고 있지만
더 이상 사랑이란 변명에
너를 가둘 수 없어
이러면 안 되지만
죽을 만큼 보고싶다
죽을 만큼 잊고싶다"
