chartDate,rank,song_id,title,singer,lyric
2001,1,19807,벌써 일년,브라운 아이즈,"처음이라 그래 며칠뒤엔
괜찮아져
그 생각만으로 벌써 일년이
너와 만든 기념일마다
슬픔은 나를 찾아와
처음 사랑 고백하며
설렌 수줍음과
우리 처음 만난날 지나가고
너의 생일엔 눈물의 케이크
촛불 켜고서 축하해
I believe in you
I believe in your mind
벌써 일년이 지났지만
일년뒤에도 그 일년뒤에도
널 기다려
너무 보고싶어 돌아와줘
말 못했어
널 보는 따뜻한 그의 눈빛과
니 왼손에 껴진 반지보다
빛난 니 얼굴 때문에
I believe in you
I believe in your mind
다시 시작한 널 알면서
이젠 나없이 추억을 만드는
너라는걸
내가 기억하는 추억은 언제나
지난 웃음과 얘기와 바램들
또 새로 만들 추억은 하나뿐
내 기다림과 눈물 속 너일뿐
I believe in you
I believe in your mind
다시 시작한 널 알면서
이젠 나없이 추억을 만드는
너라는걸
I believe in you
I believe in your mind
벌써 일년이 지났지만
일년뒤에도 그 일년뒤에도
널 기다려"
2001,2,89806,I Love You,포지션,"I love you 사랑한다는 이 말 밖에는
해줄 말이 없네요
I love you 의미 없는 말이 되었지만
사랑해요
이제와서 무슨 소용 있겠어요
다신 볼 수 없는 이별인데
돌이킬 수 없는 걸 잘 알고 있지만
어떻게든 그댈 잡아 두고 싶은걸
Ooh ooh ooh
이 세상 아니라도 언젠가
우리 다시 만날텐데
눈물 한방울도 보여선 안되겠죠
사랑에 빠지게 만들었던
미소로 날 떠나요
그 미소 하나로
언제라도 그대를 찾아낼 수 있게
I love you 기억하나요 처음 그대에게
느낀 그 떨림
I love you 오랜 후에서야 내게 해준
그대 그 한마디
우리 사랑 안될거라 생각했죠
너무나도 아름다웠기에
돌아서려 했었던 내 앞의 그대는
꿈만같은 사랑으로 다가 왔었죠
Ooh ooh ooh
이 세상 아니라도 언젠가
우리 다시 만날텐데
눈물 한방울도 보여선 안되겠죠
사랑에 빠지게 만들었던
미소로 날 떠나요
그 미소 하나로 언제라도 그대를
찾아낼 수 있게
언젠가 우리 다시 만나면
약속 하나만 해요 이렇게 아프게
너무 쉽게 헤어질 사랑하진 마요"
2001,3,19091,미안해요,김건모,"그대는 나만의 여인이여
보고 또 보고 싶은 나만의 사랑
그대는 나만의 등불이여
어둡고 험한 세상 밝게 비춰주네요
그대여 지금껏 그 흔한 옷한벌 못해주고
어느새 거칠은 손한번 잡아주지 못했던
무심한 나를 용서할수 있나요
미안해요
이 못난 날 만나 얼마나 맘 고생 많았는지
그 고왔던 얼굴이 많이도 변했어요
내맘이 아파요
그대는 나만의 여인이여
아직도 못다한 말 그댈 사랑해요
그대의 생일날 따뜻한 밥 한번 못 사주고
그대가 좋아한 장미꽃 한송이조차
건네지 못했던 나를 용서할수 있나요
미안해요
사는게 힘들어 모든걸 버리고 싶었지만
그대의 뜨거운 눈물이 맘에 걸려
지금껏 살아요
그대는 나만의 여인이여
아직도 못다한 말 그댈 사랑해요"
2001,4,32574,또 한번 사랑은 가고,이기찬,"울고 있는
내 모습이 이 젠
항상 나만
이러는게 이젠
너무 지겨워서
너무 한심해서
웃으며 보내보려고
해봤어
연습했던
그 멋진 표정도
준비했던
이별의 말들도
헤어지잔 너의
한마디 말 앞에
모두 잊어버린채
또 난 눈물만 흘렸어
난 이렇게
바라보고 있고
넌 그렇게
멀어져만 가고
또 내 눈엔
눈물이 흐르고
또 한번
사랑은 가고
멀어지는 모습
보는 일이
흐르는 눈물
감추는 일이
너무 익숙해서
많이 겪어봐서
이제 난 웃는 법까지
배웠어 음
사랑하고도
널 보냈듯이
헤어지고도
널 간직할게
다만 한가지
내가 정말 두려운 거는
다시는 맘을
열지 못할까봐 오
난 이렇게
바라보고 있고
넌 그렇게
멀어져만 가고
또 내 눈엔
눈물이 흐르고
또 한번
사랑은 가고
오 난 이렇게
바라보고 있고
넌 그렇게
멀어져만 가고
또 내눈엔
눈물이 흐르고
또 한번 사랑은 가고
또 한번 사랑은 가고"
2001,5,26378,화장을 고치고,왁스,"우연히 날 찾아와 사랑만 남기고 간 너
하루가 지나 몇 해가 흘러도
아무 소식도 없는데 세월에 변해버린
날 보면 실망할까봐 오늘도 나는
설레이는 맘으로 화장을 다시 고치곤해
아무것도 난 해준게 없어
받기만 했을뿐 그래서 미안해
나같은 여자를 왜 사랑했는지
왜 떠나야 했는지 어떻게든
우린 다시 사랑해야 해
살다가 널 만나면
모질게 따지고 싶어 힘든 세상에
나홀로 남겨두고 왜 연락 한번 없었느냐고
아무것도 난 해준게 없어 받기만 했을뿐
그래서 미안해 나같은 여자를
왜 사랑했는지 왜 떠나야 했는지
어떻게든 우린 다시 사랑해야해
그땐 너무 어려서 몰랐던 사랑을
이제야 알겠어- 보잘것 없지만
널 위해 남겨둔 내 사랑을 받아줘
어떻게든 우린 다시 사랑해-야해"
2001,6,10838,먼곳에서,박효신,"지금 너는 내일을 믿고 있는지
칠흙같은 밤들이 지나고
아무일도 없었던 것처럼
눈을뜨면 새롭게 시작되는 아침을
언젠간 이렇게 될 수 있길 바랬지
너의 슬픔이 모두 끝날 수 있게
잊어버려 그게 너를 위한 일이라면
함께 했던 우리의 약속들을
나는 지금 여기 있어
바로 너의 곁에 있어
그렇지만 너에겐 보이지 않는것일뿐
내가 너를 지켜줄게
더 이상 아프지 않게
이제 나를 잊어버릴 수 있게
언젠간 이렇게 될 수 있길 바랬지
너의 슬픔이 모두 끝날 수 있게
잊어버려 그게 너를 위한 일이라면
함께 했던 우리의 약속들을
나는 지금 여기 있어
바로 너의 곁에 있어
그렇지만 너에겐 보이지 않는것일뿐
내가 너를 지켜줄게
더 이상 아프지 않게
이제 나를 잊어버릴 수 있게
나는 지금 여기 있지
바로 너의 곁에 있지
그렇지만 너에겐 보이지 않는것일뿐
내가 너를 지켜줄게
더 이상 아프지 않게
이제 나를 잊어버릴 수 있게"
2001,7,7712,당신은 모르실거야 (CF - LIG 핑클편),핑클 (Fin.K.L),"당신은 모르실 거야
얼마나 사랑했는지
세월이 흘러가면은
그때서 뉘우칠 거야
When a think about feel
about him
I'm not really sure
If I want to
give my heart away
If it's love or just a game
마음이 서글플 때나
초라해 보일때에는
이름을 불러주세요
나 여기 서 있을 게요
두 눈에 넘쳐 흐르는
뜨거운 나의 눈물로
당신의 아픈 마음을
깨끗이 씻어드릴게
당신은 모르실 거야
얼마나 사랑했는지
뒤돌아 봐 주세요
당신의 사랑은 나요
When a think about feel
about him
I'm not really sure
If I want to
give my heart away
If it's love or just a game
두 눈에 넘쳐흐르는
뜨거운 나의 눈물로
당신의 아픈 마음을
깨끗이 씻어드릴게
당신은 모르실 거야
얼마나 사랑했는지
뒤돌아 봐 주세요
당신의 사랑은 나요
당신의 사랑은 나요"
2001,8,104788,길,god,"내가 가는 이 길이 어디로 가는지
어디로 날 데려가는지
그곳은 어딘지
알 수 없지만 알 수 없지만
알 수 없지만
오늘도 난 걸어가고 있네
사람들은 길이 다 정해져 있는지
아니면 자기가 자신의 길을
만들어 가는지
알 수 없지만 알 수 없지만
알 수 없지만
이렇게 또 걸어가고 있네
나는 왜 이길에 서 있나
이게 정말 나의 길인가
이 길의 끝에서 내 꿈은 이뤄질까
무엇이 내게 정말 기쁨을 주는지
돈인지 명옌지 아니면
내가 사랑하는 사람들인지
알고 싶지만 알고 싶지만
알고 싶지만
아직도 답을 내릴 수 없네
자신있게 나의 길이라고
말하고 싶고 그렇게 믿고
돌아보지 않고 후회도 하지 않고
걷고 싶지만 걷고 싶지만
걷고 싶지만
아직도 나는 자신이 없네
나는 왜 이 길에 서 있나
이게 정말 나의 길인가
이 길의 끝에서 내 꿈은 이뤄질까
나는 무엇을 꿈꾸는가
그건 누굴 위한 꿈일까
그 꿈을 이루면 난 웃을 수 있을까
오 지금 내가
어디로 어디로 가는 걸까
나는 무엇을 위해
살아야 살아야만 하는가
나는 왜 이 길에 서 있나
이게 정말 나의 길인가
이 길의 끝에서 내 꿈은 이뤄질까
나는 무엇을 꿈꾸는가
그건 누굴 위한 꿈일까
그 꿈을 이루면 난 웃을 수 있을까"
2001,9,111209,다시 사랑한다 말할까,김동률,"마치 어제 만난 것처럼
잘있었냔 인사가 무색할 만큼
괜한 우려였는지
서먹한 내가 되려 어색했을까
어제 나의 전활 받고서
밤새 한숨도 못 자 엉망이라며
수줍게 웃는 얼굴
어쩌면 이렇게도 그대로일까
그땐 우리 너무 어렸었다며
지난 얘기들로 웃음짓다가
아직 혼자라는 너의 그 말에
불쑥 나도 몰래 가슴이 시려
다시 사랑한다 말할까
조금 멀리 돌아왔지만
기다려왔다고
널 기다리는게
나에게 제일 쉬운 일이라
시간이 가는 줄 몰랐다고
다시 사랑한다 말할까
여전히 난 부족하지만
받아주겠냐고
널 사랑하는게
내삶에 전부라
어쩔 수 없다고 말야
그땐 사랑인줄 몰랐었다며
가끔 내 소식을 들을때마다
항상 미안했단 너의 그 말에
불쑥 나도 몰래 눈물이 흘러
다시 사랑한다 말할까
언젠가는 내게 돌아올
운명이었다고
널 잊는다는 게
나에게 제일 힘든 일이라
생각 조차 할 수 없었다고
다시 사랑한다 말할까
좋은 친구처럼
편하게 받아주겠냐고
다시 태어나도
널 사랑하는게
내 삶에 이유란 말야
다시 사랑한다 말할까
조금 멀리 돌아왔지만
기다려왔다고
널 기다리는게
나에겐 제일 쉬운 일이라
시간이 가는 줄 몰랐다고
다시 사랑한다 말할까
여전히 난 부족하지만
받아주겠냐고
널 사랑하는게
내삶에 전부라"
2001,10,1213165,Special Night,양파,"On the special night
I want to tell you
how much I love you
나 그대에게 다 고백할게
아무 약속 없는
친구 사인 너무 힘들어
그냥 말없이 눈 감아요
조심스레 눈뜨면 거짓말처럼
내 모든 걸
사랑하게 되는 운명이죠
On the special night
I want you to know
나 그댈 사랑해요
곁에 있어도 너무 보고 싶어
이런 순간이 다신 없겠죠
My love
나 그대에게 다 감사해요
어두운 내 맘도
우리 행복으로 숨쉬죠
바라만 봐도 좋은 그대
조심스레 꿈 깨면 거짓말처럼
이 모든 게
사라져 버리진 않겠지요
On the special night
I want you to know
나 그댈 사랑해요
먼 훗날 우리 지금 모습처럼
내 안에 그대 영원하겠죠
My love
나 두 번 다시 후횐 않겠죠
그대와 함께라면 이젠
On the special night
I want you to know
나 그댈 사랑해요
곁에 있어도 너무 보고 싶어
이런 순간이 다신 없겠죠
My love"
